Time,Susceptible,Infectious
74.1,0.579767,0.127713
74.2,0.579171,0.128019
74.3,0.578575,0.128325
74.4,0.577979,0.128632
74.5,0.577383,0.128939
74.6,0.576787,0.129246
74.7,0.576191,0.129554
74.8,0.575595,0.129862
74.9,0.574998,0.13017
75,0.574402,0.130479
75.1,0.573806,0.130788
75.2,0.573209,0.131098
75.3,0.572613,0.131407
75.4,0.572017,0.131718
75.5,0.57142,0.132028
75.6,0.570824,0.132339
75.7,0.570227,0.13265
75.8,0.56963,0.132961
75.9,0.569034,0.133273
76,0.568437,0.133585
76.1,0.56784,0.133898
76.2,0.567244,0.134211
76.3,0.566647,0.134524
76.4,0.56605,0.134837
76.5,0.565453,0.135151
76.6,0.564856,0.135465
76.7,0.564259,0.13578
76.8,0.563663,0.136095
76.9,0.563066,0.13641
77,0.562469,0.136725
77.1,0.561872,0.137041
77.2,0.561275,0.137357
77.3,0.560678,0.137673
77.4,0.560081,0.13799
77.5,0.559484,0.138307
77.6,0.558886,0.138624
77.7,0.558289,0.138942
77.8,0.557692,0.13926
77.9,0.557095,0.139578
78,0.556498,0.139897
78.1,0.555901,0.140216
78.2,0.555304,0.140535
78.3,0.554706,0.140855
78.4,0.554109,0.141174
78.5,0.553512,0.141495
78.6,0.552915,0.141815
78.7,0.552318,0.142136
78.8,0.55172,0.142457
78.9,0.551123,0.142778
79,0.550526,0.1431
79.1,0.549929,0.143422
79.2,0.549332,0.143744
79.3,0.548734,0.144067
79.4,0.548137,0.144389
79.5,0.54754,0.144712
79.6,0.546943,0.145036
79.7,0.546346,0.14536
79.8,0.545748,0.145684
79.9,0.545151,0.146008
80,0.544554,0.146332
80.1,0.543957,0.146657
80.2,0.54336,0.146982
80.3,0.542763,0.147308
80.4,0.542166,0.147634
80.5,0.541569,0.147959
80.6,0.540972,0.148286
80.7,0.540375,0.148612
80.8,0.539778,0.148939
80.9,0.539181,0.149266
81,0.538584,0.149594
81.1,0.537987,0.149921
81.2,0.53739,0.150249
81.3,0.536793,0.150577
81.4,0.536196,0.150906
81.5,0.535599,0.151234
81.6,0.535003,0.151563
81.7,0.534406,0.151893
