Time,Susceptible,Infectious,Recovered
171.0700,0.1058,0.0000,0.8941
171.0800,0.1058,0.0000,0.8941
171.0900,0.1058,0.0000,0.8941
171.1000,0.1058,0.0000,0.8941
171.1100,0.1058,0.0000,0.8941
171.1200,0.1058,0.0000,0.8941
171.1300,0.1058,0.0000,0.8941
171.1400,0.1058,0.0000,0.8941
171.1500,0.1058,0.0000,0.8941
171.1600,0.1058,0.0000,0.8941
171.1700,0.1058,0.0000,0.8941
171.1800,0.1058,0.0000,0.8941
171.1900,0.1058,0.0000,0.8941
171.2000,0.1058,0.0000,0.8941
171.2100,0.1058,0.0000,0.8941
171.2200,0.1058,0.0000,0.8941
171.2300,0.1058,0.0000,0.8941
171.2400,0.1058,0.0000,0.8941
171.2500,0.1058,0.0000,0.8941
171.2600,0.1058,0.0000,0.8941
171.2700,0.1058,0.0000,0.8941
171.2800,0.1058,0.0000,0.8941
171.2900,0.1058,0.0000,0.8941
171.3000,0.1058,0.0000,0.8941
171.3100,0.1058,0.0000,0.8941
171.3200,0.1058,0.0000,0.8941
171.3300,0.1058,0.0000,0.8941
171.3400,0.1058,0.0000,0.8941
171.3500,0.1058,0.0000,0.8941
171.3600,0.1058,0.0000,0.8941
171.3700,0.1058,0.0000,0.8941
171.3800,0.1058,0.0000,0.8941
171.3900,0.1058,0.0000,0.8941
171.4000,0.1058,0.0000,0.8941
171.4100,0.1058,0.0000,0.8941
171.4200,0.1058,0.0000,0.8941
171.4300,0.1058,0.0000,0.8941
171.4400,0.1058,0.0000,0.8941
171.4500,0.1058,0.0000,0.8941
171.4600,0.1058,0.0000,0.8941
171.4700,0.1058,0.0000,0.8941
171.4800,0.1058,0.0000,0.8941
171.4900,0.1058,0.0000,0.8941
171.5000,0.1058,0.0000,0.8941
171.5100,0.1058,0.0000,0.8941
171.5200,0.1058,0.0000,0.8941
171.5300,0.1058,0.0000,0.8941
171.5400,0.1058,0.0000,0.8941
171.5500,0.1058,0.0000,0.8941
171.5600,0.1058,0.0000,0.8941
171.5700,0.1058,0.0000,0.8941
171.5800,0.1058,0.0000,0.8941
171.5900,0.1058,0.0000,0.8941
171.6000,0.1058,0.0000,0.8941
171.6100,0.1058,0.0000,0.8941
171.6200,0.1058,0.0000,0.8941
171.6300,0.1058,0.0000,0.8941
171.6400,0.1058,0.0000,0.8941
171.6500,0.1058,0.0000,0.8941
171.6600,0.1058,0.0000,0.8941
171.6700,0.1058,0.0000,0.8941
171.6800,0.1058,0.0000,0.8941
171.6900,0.1058,0.0000,0.8941
171.7000,0.1058,0.0000,0.8941
171.7100,0.1058,0.0000,0.8941
171.7200,0.1058,0.0000,0.8941
171.7300,0.1058,0.0000,0.8941
171.7400,0.1058,0.0000,0.8941
171.7500,0.1058,0.0000,0.8941
171.7600,0.1058,0.0000,0.8941
171.7700,0.1058,0.0000,0.8941
171.7800,0.1058,0.0000,0.8941
171.7900,0.1058,0.0000,0.8941
171.8000,0.1058,0.0000,0.8941
171.8100,0.1058,0.0000,0.8941
171.8200,0.1058,0.0000,0.8941
171.8300,0.1058,0.0000,0.8941
171.8400,0.1058,0.0000,0.8941
171.8500,0.1058,0.0000,0.8941
171.8600,0.1058,0.0000,0.8941
171.8700,0.1058,0.0000,0.8941
171.8800,0.1058,0.0000,0.8941
171.8900,0.1058,0.0000,0.8941
171.9000,0.1058,0.0000,0.8941
171.9100,0.1058,0.0000,0.8941
171.9200,0.1058,0.0000,0.8941
171.9300,0.1058,0.0000,0.8941
171.9400,0.1058,0.0000,0.8941
171.9500,0.1058,0.0000,0.8941
171.9600,0.1058,0.0000,0.8941
171.9700,0.1058,0.0000,0.8941
171.9800,0.1058,0.0000,0.8941
171.9900,0.1058,0.0000,0.8941
172.0000,0.1058,0.0000,0.8941
172.0100,0.1058,0.0000,0.8941
172.0200,0.1058,0.0000,0.8941
172.0300,0.1058,0.0000,0.8941
172.0400,0.1058,0.0000,0.8941
172.0500,0.1058,0.0000,0.8941
172.0600,0.1058,0.0000,0.8941
172.0700,0.1058,0.0000,0.8941
172.0800,0.1058,0.0000,0.8941
172.0900,0.1058,0.0000,0.8941
172.1000,0.1058,0.0000,0.8941
172.1100,0.1058,0.0000,0.8941
172.1200,0.1058,0.0000,0.8941
172.1300,0.1058,0.0000,0.8941
172.1400,0.1058,0.0000,0.8941
172.1500,0.1058,0.0000,0.8941
172.1600,0.1058,0.0000,0.8941
172.1700,0.1058,0.0000,0.8941
172.1800,0.1058,0.0000,0.8941
172.1900,0.1058,0.0000,0.8941
172.2000,0.1058,0.0000,0.8941
172.2100,0.1058,0.0000,0.8941
172.2200,0.1058,0.0000,0.8941
172.2300,0.1058,0.0000,0.8941
172.2400,0.1058,0.0000,0.8941
172.2500,0.1058,0.0000,0.8941
172.2600,0.1058,0.0000,0.8941
172.2700,0.1058,0.0000,0.8941
172.2800,0.1058,0.0000,0.8941
172.2900,0.1058,0.0000,0.8941
172.3000,0.1058,0.0000,0.8941
172.3100,0.1058,0.0000,0.8941
172.3200,0.1058,0.0000,0.8941
172.3300,0.1058,0.0000,0.8941
172.3400,0.1058,0.0000,0.8941
172.3500,0.1058,0.0000,0.8941
172.3600,0.1058,0.0000,0.8941
172.3700,0.1058,0.0000,0.8941
172.3800,0.1058,0.0000,0.8941
172.3900,0.1058,0.0000,0.8941
172.4000,0.1058,0.0000,0.8941
172.4100,0.1058,0.0000,0.8941
172.4200,0.1058,0.0000,0.8941
172.4300,0.1058,0.0000,0.8941
172.4400,0.1058,0.0000,0.8941
172.4500,0.1058,0.0000,0.8941
172.4600,0.1058,0.0000,0.8941
172.4700,0.1058,0.0000,0.8941
172.4800,0.1058,0.0000,0.8941
172.4900,0.1058,0.0000,0.8941
172.5000,0.1058,0.0000,0.8941
172.5100,0.1058,0.0000,0.8941
172.5200,0.1058,0.0000,0.8941
172.5300,0.1058,0.0000,0.8941
172.5400,0.1058,0.0000,0.8941
172.5500,0.1058,0.0000,0.8941
172.5600,0.1058,0.0000,0.8941
172.5700,0.1058,0.0000,0.8941
172.5800,0.1058,0.0000,0.8941
172.5900,0.1058,0.0000,0.8941
172.6000,0.1058,0.0000,0.8941
172.6100,0.1058,0.0000,0.8941
172.6200,0.1058,0.0000,0.8941
172.6300,0.1058,0.0000,0.8941
172.6400,0.1058,0.0000,0.8941
172.6500,0.1058,0.0000,0.8941
172.6600,0.1058,0.0000,0.8941
172.6700,0.1058,0.0000,0.8941
172.6800,0.1058,0.0000,0.8941
172.6900,0.1058,0.0000,0.8941
172.7000,0.1058,0.0000,0.8941
172.7100,0.1058,0.0000,0.8941
172.7200,0.1058,0.0000,0.8941
172.7300,0.1058,0.0000,0.8941
172.7400,0.1058,0.0000,0.8941
172.7500,0.1058,0.0000,0.8941
172.7600,0.1058,0.0000,0.8941
172.7700,0.1058,0.0000,0.8941
172.7800,0.1058,0.0000,0.8941
172.7900,0.1058,0.0000,0.8941
172.8000,0.1058,0.0000,0.8941
172.8100,0.1058,0.0000,0.8941
172.8200,0.1058,0.0000,0.8941
172.8300,0.1058,0.0000,0.8941
172.8400,0.1058,0.0000,0.8941
172.8500,0.1058,0.0000,0.8941
172.8600,0.1058,0.0000,0.8941
172.8700,0.1058,0.0000,0.8941
172.8800,0.1058,0.0000,0.8941
172.8900,0.1058,0.0000,0.8941
172.9000,0.1058,0.0000,0.8941
172.9100,0.1058,0.0000,0.8941
172.9200,0.1058,0.0000,0.8941
172.9300,0.1058,0.0000,0.8941
172.9400,0.1058,0.0000,0.8941
172.9500,0.1058,0.0000,0.8941
172.9600,0.1058,0.0000,0.8941
172.9700,0.1058,0.0000,0.8941
172.9800,0.1058,0.0000,0.8941
172.9900,0.1058,0.0000,0.8941
173.0000,0.1058,0.0000,0.8941
173.0100,0.1058,0.0000,0.8941
173.0200,0.1058,0.0000,0.8941
173.0300,0.1058,0.0000,0.8941
173.0400,0.1058,0.0000,0.8941
173.0500,0.1058,0.0000,0.8941
173.0600,0.1058,0.0000,0.8941
173.0700,0.1058,0.0000,0.8941
173.0800,0.1058,0.0000,0.8941
173.0900,0.1058,0.0000,0.8941
173.1000,0.1058,0.0000,0.8941
173.1100,0.1058,0.0000,0.8941
173.1200,0.1058,0.0000,0.8941
173.1300,0.1058,0.0000,0.8941
173.1400,0.1058,0.0000,0.8941
173.1500,0.1058,0.0000,0.8941
173.1600,0.1058,0.0000,0.8941
173.1700,0.1058,0.0000,0.8941
173.1800,0.1058,0.0000,0.8941
173.1900,0.1058,0.0000,0.8941
173.2000,0.1058,0.0000,0.8941
173.2100,0.1058,0.0000,0.8941
173.2200,0.1058,0.0000,0.8941
173.2300,0.1058,0.0000,0.8941
173.2400,0.1058,0.0000,0.8941
173.2500,0.1058,0.0000,0.8941
173.2600,0.1058,0.0000,0.8941
173.2700,0.1058,0.0000,0.8941
173.2800,0.1058,0.0000,0.8941
173.2900,0.1058,0.0000,0.8941
173.3000,0.1058,0.0000,0.8941
173.3100,0.1058,0.0000,0.8941
173.3200,0.1058,0.0000,0.8941
173.3300,0.1058,0.0000,0.8941
173.3400,0.1058,0.0000,0.8941
173.3500,0.1058,0.0000,0.8941
173.3600,0.1058,0.0000,0.8941
173.3700,0.1058,0.0000,0.8941
173.3800,0.1058,0.0000,0.8941
173.3900,0.1058,0.0000,0.8941
173.4000,0.1058,0.0000,0.8941
173.4100,0.1058,0.0000,0.8941
173.4200,0.1058,0.0000,0.8941
173.4300,0.1058,0.0000,0.8941
173.4400,0.1058,0.0000,0.8941
173.4500,0.1058,0.0000,0.8941
173.4600,0.1058,0.0000,0.8941
173.4700,0.1058,0.0000,0.8941
173.4800,0.1058,0.0000,0.8941
173.4900,0.1058,0.0000,0.8941
173.5000,0.1058,0.0000,0.8941
173.5100,0.1058,0.0000,0.8941
173.5200,0.1058,0.0000,0.8941
173.5300,0.1058,0.0000,0.8941
173.5400,0.1058,0.0000,0.8941
173.5500,0.1058,0.0000,0.8941
173.5600,0.1058,0.0000,0.8941
173.5700,0.1058,0.0000,0.8941
173.5800,0.1058,0.0000,0.8941
173.5900,0.1058,0.0000,0.8941
173.6000,0.1058,0.0000,0.8941
173.6100,0.1058,0.0000,0.8941
173.6200,0.1058,0.0000,0.8941
173.6300,0.1058,0.0000,0.8941
173.6400,0.1058,0.0000,0.8941
173.6500,0.1058,0.0000,0.8941
173.6600,0.1058,0.0000,0.8941
173.6700,0.1058,0.0000,0.8941
173.6800,0.1058,0.0000,0.8941
173.6900,0.1058,0.0000,0.8941
173.7000,0.1058,0.0000,0.8941
173.7100,0.1058,0.0000,0.8941
173.7200,0.1058,0.0000,0.8941
173.7300,0.1058,0.0000,0.8941
173.7400,0.1058,0.0000,0.8941
173.7500,0.1058,0.0000,0.8941
173.7600,0.1058,0.0000,0.8941
173.7700,0.1058,0.0000,0.8941
173.7800,0.1058,0.0000,0.8941
173.7900,0.1058,0.0000,0.8941
173.8000,0.1058,0.0000,0.8941
173.8100,0.1058,0.0000,0.8941
173.8200,0.1058,0.0000,0.8941
173.8300,0.1058,0.0000,0.8941
173.8400,0.1058,0.0000,0.8941
173.8500,0.1058,0.0000,0.8941
173.8600,0.1058,0.0000,0.8941
173.8700,0.1058,0.0000,0.8941
173.8800,0.1058,0.0000,0.8941
173.8900,0.1058,0.0000,0.8941
173.9000,0.1058,0.0000,0.8941
173.9100,0.1058,0.0000,0.8941
173.9200,0.1058,0.0000,0.8941
